"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
343.15,0.0689,0.015,0.123,+-0.02,+-0.0002,+-0.003,+-0.003
343.15,0.1129,0.078,0.471,+-0.02,+-0.0002,+-0.003,+-0.003
343.15,0.2061,0.238,0.765,+-0.02,+-0.0002,+-0.003,+-0.003
343.15,0.3438,0.463,0.92,+-0.02,+-0.0002,+-0.003,+-0.003
343.15,0.3548,0.483,0.92,+-0.02,+-0.0002,+-0.003,+-0.003
343.15,0.3846,0.539,0.931,+-0.02,+-0.0002,+-0.003,+-0.003
343.15,0.4182,0.574,0.957,+-0.02,+-0.0002,+-0.003,+-0.003
343.15,0.4493,0.643,0.962,+-0.02,+-0.0002,+-0.003,+-0.003
343.15,0.478,0.692,0.965,+-0.02,+-0.0002,+-0.003,+-0.003
343.15,0.486,0.701,0.975,+-0.02,+-0.0002,+-0.003,+-0.003
343.15,0.5357,0.775,0.977,+-0.02,+-0.0002,+-0.003,+-0.003
343.15,0.5484,0.803,0.985,+-0.02,+-0.0002,+-0.003,+-0.003
343.15,0.5815,0.856,0.99,+-0.02,+-0.0002,+-0.003,+-0.003
343.15,0.6122,0.894,0.985,+-0.02,+-0.0002,+-0.003,+-0.003
343.15,0.6234,0.926,0.995,+-0.02,+-0.0002,+-0.003,+-0.003
343.15,0.6671,0.981,0.995,+-0.02,+-0.0002,+-0.003,+-0.003
343.15,0.6754,1.0,1.0,+-0.02,+-0.0002,+-0.003,+-0.003
