"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
80.1,101.3,0.0,0.0,,,,
78.4,101.3,0.039,0.09,,,,
77.5,101.3,0.071,0.142,,,,
77.1,101.3,0.085,0.158,,,,
76.1,101.3,0.131,0.213,,,,
76.1,101.3,0.133,0.211,,,,
75.3,101.3,0.17,0.263,,,,
74.8,101.3,0.213,0.283,,,,
74.1,101.3,0.288,0.357,,,,
73.9,101.3,0.337,0.377,,,,
73.7,101.3,0.373,0.412,,,,
73.7,101.3,0.392,0.418,,,,
73.6,101.3,0.459,0.462,,,,
73.8,101.3,0.616,0.563,,,,
74.0,101.3,0.66,0.59,,,,
74.6,101.3,0.732,0.634,,,,
75.2,101.3,0.782,0.677,,,,
75.7,101.3,0.805,0.704,,,,
76.4,101.3,0.852,0.747,,,,
77.1,101.3,0.877,0.78,,,,
79.0,101.3,0.942,0.871,,,,
79.5,101.3,0.952,0.898,,,,
80.3,101.3,0.973,0.935,,,,
80.7,101.3,0.983,0.961,,,,
81.6,101.3,1.0,1.0,,,,
