"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
60.3,760,0.0,0.0,+-0.1,+-0.5,,
60.6,760,0.031,0.027,+-0.1,+-0.5,,
61.0,760,0.072,0.062,+-0.1,+-0.5,,
61.2,760,0.112,0.099,+-0.1,+-0.5,,
61.3,760,0.147,0.133,+-0.1,+-0.5,,
61.4,760,0.198,0.183,+-0.1,+-0.5,,
61.5,760,0.224,0.213,+-0.1,+-0.5,,
61.6,760,0.276,0.266,+-0.1,+-0.5,,
61.7,760,0.296,0.291,+-0.1,+-0.5,,
61.7,760,0.326,0.326,+-0.1,+-0.5,,
61.7,760,0.347,0.351,+-0.1,+-0.5,,
61.6,760,0.375,0.383,+-0.1,+-0.5,,
61.5,760,0.395,0.408,+-0.1,+-0.5,,
61.4,760,0.444,0.465,+-0.1,+-0.5,,
61.2,760,0.511,0.541,+-0.1,+-0.5,,
60.8,760,0.583,0.623,+-0.1,+-0.5,,
60.2,760,0.651,0.696,+-0.1,+-0.5,,
59.7,760,0.715,0.77,+-0.1,+-0.5,,
59.2,760,0.772,0.82,+-0.1,+-0.5,,
58.4,760,0.88,0.907,+-0.1,+-0.5,,
57.6,760,0.95,0.965,+-0.1,+-0.5,,
57.3,760,0.988,0.993,+-0.1,+-0.5,,
57.2,760,1.0,1.0,+-0.1,+-0.5,,
