"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
343.15,0.0536,0.0,0.0,+-0.01,+-0.00013,+-0.002,+-0.002
343.18,0.0619,0.006,0.118,+-0.01,+-0.00013,+-0.002,+-0.002
343.16,0.0936,0.053,0.46,+-0.01,+-0.00013,+-0.002,+-0.002
343.34,0.1275,0.101,0.614,+-0.01,+-0.00013,+-0.002,+-0.002
343.36,0.178,0.162,0.719,+-0.01,+-0.00013,+-0.002,+-0.002
343.32,0.2595,0.284,0.85,+-0.01,+-0.00013,+-0.002,+-0.002
343.54,0.3173,0.366,0.9,+-0.01,+-0.00013,+-0.002,+-0.002
343.35,0.391,0.482,0.935,+-0.01,+-0.00013,+-0.002,+-0.002
343.3,0.433,0.552,0.948,+-0.01,+-0.00013,+-0.002,+-0.002
343.19,0.5057,0.665,0.97,+-0.01,+-0.00013,+-0.002,+-0.002
343.3,0.5928,0.78,0.99,+-0.01,+-0.00013,+-0.002,+-0.002
343.22,0.6477,0.851,0.992,+-0.01,+-0.00013,+-0.002,+-0.002
343.15,0.717,0.961,0.995,+-0.01,+-0.00013,+-0.002,+-0.002
343.15,0.7353,1.0,1.0,+-0.01,+-0.00013,+-0.002,+-0.002
353.15,0.0833,0.0,0.0,+-0.01,+-0.00013,+-0.002,+-0.002
353.2,0.12,0.036,0.304,+-0.01,+-0.00013,+-0.002,+-0.002
353.31,0.1579,0.092,0.562,+-0.01,+-0.00013,+-0.002,+-0.002
353.35,0.2528,0.161,0.726,+-0.01,+-0.00013,+-0.002,+-0.002
353.23,0.3137,0.236,0.783,+-0.01,+-0.00013,+-0.002,+-0.002
353.25,0.4469,0.38,0.902,+-0.01,+-0.00013,+-0.002,+-0.002
353.17,0.5529,0.502,0.941,+-0.01,+-0.00013,+-0.002,+-0.002
353.2,0.627,0.585,0.96,+-0.01,+-0.00013,+-0.002,+-0.002
353.2,0.7798,0.763,0.982,+-0.01,+-0.00013,+-0.002,+-0.002
353.18,0.8677,0.856,0.9,+-0.01,+-0.00013,+-0.002,+-0.002
353.19,0.9061,0.888,0.993,+-0.01,+-0.00013,+-0.002,+-0.002
353.18,0.965,0.939,0.997,+-0.01,+-0.00013,+-0.002,+-0.002
353.15,1.0102,1.0,1.0,+-0.01,+-0.00013,+-0.002,+-0.002
