"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
312.98,0.373,0.0,0.0,+-0.02,+-0.0003,+-0.005,
312.98,0.4193,0.053,0.145,+-0.02,+-0.0003,+-0.005,
312.98,0.4858,0.136,0.307,+-0.02,+-0.0003,+-0.005,
312.98,0.5151,0.178,0.362,+-0.02,+-0.0003,+-0.005,
312.98,0.5425,0.217,0.41,+-0.02,+-0.0003,+-0.005,
312.98,0.5634,0.252,0.448,+-0.02,+-0.0003,+-0.005,
312.98,0.5944,0.299,0.5,+-0.02,+-0.0003,+-0.005,
312.98,0.6174,0.339,0.551,+-0.02,+-0.0003,+-0.005,
312.98,0.6302,0.36,0.549,+-0.02,+-0.0003,+-0.005,
312.98,0.6682,0.434,0.617,+-0.02,+-0.0003,+-0.005,
312.98,0.6926,0.483,0.644,+-0.02,+-0.0003,+-0.005,
312.98,0.7103,0.524,0.679,+-0.02,+-0.0003,+-0.005,
312.98,0.7402,0.588,0.722,+-0.02,+-0.0003,+-0.005,
312.98,0.7787,0.684,0.783,+-0.02,+-0.0003,+-0.005,
312.98,0.8154,0.784,0.847,+-0.02,+-0.0003,+-0.005,
312.98,0.8393,0.856,0.897,+-0.02,+-0.0003,+-0.005,
312.98,0.855,0.904,0.928,+-0.02,+-0.0003,+-0.005,
312.98,0.8662,0.941,0.956,+-0.02,+-0.0003,+-0.005,
312.98,0.8824,1.0,1.0,+-0.02,+-0.0003,+-0.005,
