"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
150,18.856,1.0,,+-0.05,+-0.05,,
150,127.0,0.963,,+-0.05,+-0.05,,
150,204.29,0.9375,,+-0.05,+-0.05,,
150,324.27,0.8942,,+-0.05,+-0.05,,
150,547.87,0.7915,,+-0.05,+-0.05,,
150,715.86,0.6932,,+-0.05,+-0.05,,
150,833.02,0.6083,,+-0.05,+-0.05,,
150,835.06,0.5855,,+-0.05,+-0.05,,
150,929.86,0.4942,,+-0.05,+-0.05,,
150,961.68,0.4922,,+-0.05,+-0.05,,
150,1032.1,0.3816,,+-0.05,+-0.05,,
150,1049.7,0.3932,,+-0.05,+-0.05,,
150,1103.5,0.2973,,+-0.05,+-0.05,,
150,1166.1,0.2217,,+-0.05,+-0.05,,
150,1273.0,0.1054,,+-0.05,+-0.05,,
150,1331.9,0.056,,+-0.05,+-0.05,,
150,1375.2,0.0274,,+-0.05,+-0.05,,
150,1413.1,0.0,,+-0.05,+-0.05,,
