"T, deg.C","P, atm",X,Y,T Err,P Err,X Err,Y Err
116.0,1.0,0.008,0.095,,,,
109.0,1.0,0.05,0.34,,,,
106.6,1.0,0.065,0.424,,,,
102.1,1.0,0.085,0.468,,,,
98.2,1.0,0.12,0.555,,,,
93.6,1.0,0.154,0.63,,,,
90.0,1.0,0.166,0.669,,,,
90.0,1.0,0.189,0.703,,,,
87.2,1.0,0.217,0.739,,,,
84.8,1.0,0.244,0.76,,,,
80.8,1.0,0.296,0.806,,,,
76.4,1.0,0.362,0.862,,,,
72.6,1.0,0.435,0.883,,,,
69.5,1.0,0.511,0.905,,,,
64.8,1.0,0.661,0.941,,,,
62.2,1.0,0.762,0.958,,,,
61.4,1.0,0.795,0.961,,,,
59.6,1.0,0.894,0.98,,,,
58.5,1.0,0.966,0.993,,,,
