"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
138.06,760,0.048,,+-0.03,+-1,+-0.001,+-0.001
137.92,760,0.085,,+-0.03,+-1,+-0.001,+-0.001
137.86,760,0.124,,+-0.03,+-1,+-0.001,+-0.001
137.6,760,0.221,,+-0.03,+-1,+-0.001,+-0.001
137.45,760,0.276,,+-0.03,+-1,+-0.001,+-0.001
137.34,760,0.341,,+-0.03,+-1,+-0.001,+-0.001
137.17,760,0.408,,+-0.03,+-1,+-0.001,+-0.001
136.98,760,0.5,,+-0.03,+-1,+-0.001,+-0.001
136.78,760,0.548,,+-0.03,+-1,+-0.001,+-0.001
136.68,760,0.633,,+-0.03,+-1,+-0.001,+-0.001
136.63,760,0.661,,+-0.03,+-1,+-0.001,+-0.001
136.34,760,0.783,,+-0.03,+-1,+-0.001,+-0.001
136.18,760,0.883,,+-0.03,+-1,+-0.001,+-0.001
136.14,760,0.894,,+-0.03,+-1,+-0.001,+-0.001
136.02,760,0.945,,+-0.03,+-1,+-0.001,+-0.001
