"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
376.28,0.113,0.0,0.0,0.1,,+-0.005,+-0.005
376.11,0.158,0.0192,0.1752,0.1,,+-0.005,+-0.005
376.09,0.171,0.0275,0.2508,0.1,,+-0.005,+-0.005
376.91,0.177,0.0318,,0.1,,+-0.005,+-0.005
376.06,0.192,0.0424,0.3557,0.1,,+-0.005,+-0.005
377.15,0.191,0.0426,,0.1,,+-0.005,+-0.005
376.03,0.228,0.0629,0.4812,0.1,,+-0.005,+-0.005
376.08,0.294,0.0965,0.6121,0.1,,+-0.005,+-0.005
377.02,0.329,0.105,,0.1,,+-0.005,+-0.005
377.0,0.327,0.1188,,0.1,,+-0.005,+-0.005
375.85,0.382,0.135,0.7057,0.1,,+-0.005,+-0.005
375.94,0.401,0.1404,0.7261,0.1,,+-0.005,+-0.005
376.34,0.533,0.1861,0.796,0.1,,+-0.005,+-0.005
375.94,0.74,0.2442,0.8603,0.1,,+-0.005,+-0.005
376.37,0.885,0.264,0.8839,0.1,,+-0.005,+-0.005
375.99,1.224,0.3418,0.9203,0.1,,+-0.005,+-0.005
376.17,1.468,0.3759,0.9344,0.1,,+-0.005,+-0.005
376.12,1.936,0.4452,0.9522,0.1,,+-0.005,+-0.005
376.2,2.117,0.4556,0.9566,0.1,,+-0.005,+-0.005
376.18,2.376,0.5008,0.9626,0.1,,+-0.005,+-0.005
376.21,2.781,0.5468,0.9686,0.1,,+-0.005,+-0.005
376.3,3.024,0.5575,0.9685,0.1,,+-0.005,+-0.005
376.27,3.493,0.6402,0.9756,0.1,,+-0.005,+-0.005
376.33,3.909,0.657,0.9691,0.1,,+-0.005,+-0.005
376.1,3.948,0.6842,0.9777,0.1,,+-0.005,+-0.005
376.36,4.63,0.7388,0.9709,0.1,,+-0.005,+-0.005
376.27,5.239,0.7662,0.9777,0.1,,+-0.005,+-0.005
376.28,6.626,1.0,1.0,0.1,,+-0.005,+-0.005
