"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
103.35,101.3,0.0298,0.1394,+-0.02,,,
92.89,101.3,0.1052,0.3978,+-0.02,,,
86.34,101.3,0.2128,0.5768,+-0.02,,,
82.2,101.3,0.3487,0.6822,+-0.02,,,
82.08,101.3,0.3872,0.697,+-0.02,,,
81.16,101.3,0.4482,0.7382,+-0.02,,,
80.6,101.3,0.5274,0.7511,+-0.02,,,
80.4,101.3,0.6071,0.7672,+-0.02,,,
80.1,101.3,0.6745,0.7959,+-0.02,,,
79.91,101.3,0.7793,0.8085,+-0.02,,,
80.3,101.3,0.8732,0.8485,+-0.02,,,
80.4,101.3,0.9007,0.8627,+-0.02,,,
81.3,101.3,0.9893,0.9673,+-0.02,,,
