"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
201.9,760,0.0,0.0,+-0.2,+-1.0,,
189.5,760,0.015,0.271,+-0.2,+-1.0,,
180.4,760,0.028,0.438,+-0.2,+-1.0,,
176.0,760,0.038,0.509,+-0.2,+-1.0,,
171.0,760,0.048,0.581,+-0.2,+-1.0,,
165.0,760,0.064,0.646,+-0.2,+-1.0,,
158.0,760,0.085,0.73,+-0.2,+-1.0,,
148.2,760,0.137,0.815,+-0.2,+-1.0,,
143.6,760,0.168,0.844,+-0.2,+-1.0,,
139.1,760,0.238,0.873,+-0.2,+-1.0,,
135.0,760,0.337,0.893,+-0.2,+-1.0,,
133.8,760,0.392,0.905,+-0.2,+-1.0,,
131.8,760,0.488,0.917,+-0.2,+-1.0,,
130.9,760,0.543,0.923,+-0.2,+-1.0,,
130.4,760,0.574,0.925,+-0.2,+-1.0,,
129.5,760,0.63,0.931,+-0.2,+-1.0,,
129.3,760,0.672,0.933,+-0.2,+-1.0,,
129.0,760,0.692,0.937,+-0.2,+-1.0,,
128.8,760,0.731,0.938,+-0.2,+-1.0,,
128.1,760,0.787,0.944,+-0.2,+-1.0,,
127.1,760,0.844,0.952,+-0.2,+-1.0,,
126.7,760,0.89,0.962,+-0.2,+-1.0,,
126.1,760,0.917,0.969,+-0.2,+-1.0,,
126.0,760,0.944,0.978,+-0.2,+-1.0,,
125.8,760,1.0,1.0,+-0.2,+-1.0,,
