"T, deg.F","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
152.9,760,0.106,0.284,+-0.18,,,
151.2,760,0.2,0.392,+-0.18,,,
150.0,760,0.36,0.53,+-0.18,,,
148.8,760,0.491,0.616,+-0.18,,,
143.5,760,0.6,0.682,+-0.18,,,
146.5,760,0.692,0.736,+-0.18,,,
145.9,760,0.771,0.786,+-0.18,,,
146.6,760,0.84,0.84,+-0.18,,,
145.0,760,0.9,0.891,+-0.18,,,
146.7,760,0.953,0.944,+-0.18,,,
