"T, deg.C","P, Torr",X,Y,T Err,P Err,X Err,Y Err
74.9,715,0.0998,0.0406,+-0.1,+-1,,
76.8,715,0.2044,0.0931,+-0.1,+-1,,
79.3,715,0.3039,0.1545,+-0.1,+-1,,
81.2,715,0.4077,0.2324,+-0.1,+-1,,
84.6,715,0.5038,0.3184,+-0.1,+-1,,
85.7,715,0.5944,0.4122,+-0.1,+-1,,
89.3,715,0.6904,0.5237,+-0.1,+-1,,
92.0,715,0.8052,0.6698,+-0.1,+-1,,
94.7,715,0.8913,0.7878,+-0.1,+-1,,
