"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
298.15,8.856,0.0292,,+-0.03,+-0.07,,
298.22,15.407,0.0408,,+-0.03,+-0.07,,
298.2,21.82,0.0571,,+-0.03,+-0.07,,
298.2,37.82,0.0859,,+-0.03,+-0.07,,
298.21,42.44,0.0974,,+-0.03,+-0.07,,
298.86,42.85,0.0966,,+-0.03,+-0.07,,
298.64,42.647,0.0971,,+-0.03,+-0.07,,
298.11,42.028,0.0962,,+-0.03,+-0.07,,
298.08,42.152,0.096,,+-0.03,+-0.07,,
297.64,41.89,0.0952,,+-0.03,+-0.07,,
295.49,40.028,0.0953,,+-0.03,+-0.07,,
292.95,39.35,0.0918,,+-0.03,+-0.07,,
290.65,36.166,0.0901,,+-0.03,+-0.07,,
289.82,35.407,0.0888,,+-0.03,+-0.07,,
308.15,47.476,0.1275,,+-0.03,+-0.07,,
