"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
318.17,7.27,0.0154,,+-0.03,+-0.07,,
318.13,12.72,0.0258,,+-0.03,+-0.07,,
318.15,17.96,0.0361,,+-0.03,+-0.07,,
318.15,23.48,0.0445,,+-0.03,+-0.07,,
318.17,28.93,0.0552,,+-0.03,+-0.07,,
318.14,34.51,0.0636,,+-0.03,+-0.07,,
318.15,40.72,0.073,,+-0.03,+-0.07,,
318.15,44.79,0.0807,,+-0.03,+-0.07,,
304.84,48.37,0.1014,,+-0.03,+-0.07,,
302.88,46.72,0.0997,,+-0.03,+-0.07,,
300.89,44.96,0.0917,,+-0.03,+-0.07,,
298.51,42.72,0.0847,,+-0.03,+-0.07,,
295.78,40.3,0.0836,,+-0.03,+-0.07,,
288.91,34.64,0.9919,,+-0.03,+-0.07,,
