"T, K","P, Torr",X,Y,T Err,P Err,X Err,Y Err
348.15,99.0,0.0276,0.2481,,,,
348.15,123.8,0.059,0.4156,,,,
348.15,160.7,0.1083,0.5777,,,,
348.15,208.4,0.1739,0.6931,,,,
348.15,223.8,0.1969,0.7221,,,,
348.15,259.6,0.2491,0.7731,,,,
348.15,303.4,0.3166,0.8208,,,,
348.15,350.2,0.3896,0.86,,,,
348.15,406.0,0.4823,0.8942,,,,
348.15,449.6,0.5542,0.915,,,,
348.15,503.8,0.6467,0.9373,,,,
348.15,538.9,0.7092,0.9502,,,,
348.15,605.2,0.8221,0.9708,,,,
348.15,636.9,0.8777,0.9802,,,,
348.15,665.0,0.924,0.9871,,,,
