"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
363.0,4.49,0.998,0.999,+-0.05,+-0.5%,+-0.005,+-0.005
363.0,4.139,0.954,0.983,+-0.05,+-0.5%,+-0.005,+-0.005
363.0,3.806,0.902,0.97,+-0.05,+-0.5%,+-0.005,+-0.005
363.0,3.495,0.843,0.959,+-0.05,+-0.5%,+-0.005,+-0.005
363.0,3.306,0.81,0.955,+-0.05,+-0.5%,+-0.005,+-0.005
363.0,2.99,0.736,0.943,+-0.05,+-0.5%,+-0.005,+-0.005
363.0,2.737,0.68,0.936,+-0.05,+-0.5%,+-0.005,+-0.005
363.0,2.448,0.595,0.918,+-0.05,+-0.5%,+-0.005,+-0.005
363.0,2.14,0.523,0.907,+-0.05,+-0.5%,+-0.005,+-0.005
363.0,1.739,0.404,0.885,+-0.05,+-0.5%,+-0.005,+-0.005
