"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
50,330.3,0.0314,0.2282,+-0.005,+-0.05,,
50,388.2,0.0702,0.3496,+-0.005,+-0.05,,
50,467.9,0.1239,0.4796,+-0.005,+-0.05,,
50,520.8,0.1647,0.5469,+-0.005,+-0.05,,
50,560.6,0.2032,0.5981,+-0.005,+-0.05,,
50,610.1,0.2472,0.6436,+-0.005,+-0.05,,
50,683.2,0.3259,0.7042,+-0.005,+-0.05,,
50,734.9,0.3926,0.7446,+-0.005,+-0.05,,
50,770.7,0.4352,0.7675,+-0.005,+-0.05,,
50,818.0,0.5032,0.7986,+-0.005,+-0.05,,
50,871.9,0.5746,0.8296,+-0.005,+-0.05,,
50,934.0,0.6636,0.8652,+-0.005,+-0.05,,
50,958.2,0.6909,0.8756,+-0.005,+-0.05,,
