"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
313.15,24.367,0.0,,0.004,0.004,0.0005,
313.15,28.831,0.0293,,0.004,0.004,0.0005,
313.15,30.624,0.0567,,0.004,0.004,0.0005,
313.15,31.544,0.0823,,0.004,0.004,0.0005,
313.15,31.855,0.0965,,0.004,0.004,0.0005,
313.15,32.764,0.1602,,0.004,0.004,0.0005,
313.15,33.276,0.4357,,0.004,0.004,0.0005,
313.15,33.121,0.4981,,0.004,0.004,0.0005,
313.15,32.849,0.5587,,0.004,0.004,0.0005,
313.15,32.388,0.6218,,0.004,0.004,0.0005,
313.15,31.704,0.6826,,0.004,0.004,0.0005,
313.15,30.672,0.7438,,0.004,0.004,0.0005,
313.15,33.015,0.1942,,0.004,0.004,0.0005,
313.15,33.381,0.3055,,0.004,0.004,0.0005,
313.15,33.365,0.3703,,0.004,0.004,0.0005,
313.15,24.938,0.9052,,0.004,0.004,0.0005,
313.15,23.446,0.9303,,0.004,0.004,0.0005,
313.15,23.245,0.9337,,0.004,0.004,0.0005,
313.15,28.991,0.8103,,0.004,0.004,0.0005,
313.15,27.464,0.8516,,0.004,0.004,0.0005,
313.15,26.914,0.8662,,0.004,0.004,0.0005,
313.15,21.506,0.9586,,0.004,0.004,0.0005,
313.15,19.938,0.9776,,0.004,0.004,0.0005,
313.15,17.897,1.0,,0.004,0.004,0.0005,
