"T, K","P, atm",X,Y,T Err,P Err,X Err,Y Err
356.39,1,0.0065,0.0209,0.05,0.00131579,2%,2%
355.95,1,0.0113,0.0426,0.05,0.00131579,2%,2%
356.01,1,0.0123,0.0498,0.05,0.00131579,2%,2%
355.57,1,0.0165,0.0646,0.05,0.00131579,2%,2%
355.4,1,0.0206,0.0661,0.05,0.00131579,2%,2%
354.84,1,0.0321,0.0891,0.05,0.00131579,2%,2%
354.7,1,0.0326,0.0878,0.05,0.00131579,2%,2%
354.1,1,0.0537,0.1249,0.05,0.00131579,2%,2%
352.05,1,0.1165,0.2357,0.05,0.00131579,2%,2%
350.65,1,0.1804,0.2869,0.05,0.00131579,2%,2%
349.62,1,0.2582,0.3712,0.05,0.00131579,2%,2%
348.85,1,0.3533,0.4478,0.05,0.00131579,2%,2%
348.23,1,0.5631,0.5489,0.05,0.00131579,2%,2%
348.57,1,0.6979,0.617,0.05,0.00131579,2%,2%
348.85,1,0.7473,0.656,0.05,0.00131579,2%,2%
349.53,1,0.8103,0.7158,0.05,0.00131579,2%,2%
349.9,1,0.8395,0.7579,0.05,0.00131579,2%,2%
350.75,1,0.8826,0.8015,0.05,0.00131579,2%,2%
351.85,1,0.928,0.8598,0.05,0.00131579,2%,2%
352.47,1,0.9521,0.9007,0.05,0.00131579,2%,2%
353.45,1,0.9545,0.9024,0.05,0.00131579,2%,2%
353.95,1,0.9731,0.9369,0.05,0.00131579,2%,2%
353.15,1,0.9754,0.9424,0.05,0.00131579,2%,2%
353.65,1,0.993,0.9771,0.05,0.00131579,2%,2%
