"T, K","P, bar",X,Y,T Err,P Err,X Err,Y Err
353.15,0.0909,0.0,0.0,+-0.02,+-0.0002,+-0.003,+-0.003
353.15,0.1348,0.052,0.377,+-0.02,+-0.0002,+-0.003,+-0.003
353.15,0.1977,0.124,0.597,+-0.02,+-0.0002,+-0.003,+-0.003
353.15,0.3064,0.24,0.769,+-0.02,+-0.0002,+-0.003,+-0.003
353.15,0.3572,0.307,0.831,+-0.02,+-0.0002,+-0.003,+-0.003
353.15,0.4465,0.402,0.903,+-0.02,+-0.0002,+-0.003,+-0.003
353.15,0.547,0.514,0.942,+-0.02,+-0.0002,+-0.003,+-0.003
353.15,0.6098,0.582,0.954,+-0.02,+-0.0002,+-0.003,+-0.003
353.15,0.7078,0.675,0.979,+-0.02,+-0.0002,+-0.003,+-0.003
353.15,0.791,0.783,0.991,+-0.02,+-0.0002,+-0.003,+-0.003
353.15,0.8982,0.905,1.0,+-0.02,+-0.0002,+-0.003,+-0.003
353.15,0.9762,0.991,1.0,+-0.02,+-0.0002,+-0.003,+-0.003
353.15,0.9908,1.0,1.0,+-0.02,+-0.0002,+-0.003,+-0.003
