"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
85.0,31.31,0.0,0.0,+- 0.01,,,
85.0,33.03,0.011,0.0605,+- 0.01,,,
85.0,35.43,0.0265,0.1347,+- 0.01,,,
85.0,39.73,0.0581,0.249,+- 0.01,,,
85.0,50.09,0.1575,0.4485,+- 0.01,,,
85.0,54.58,0.2117,0.5164,+- 0.01,,,
85.0,57.47,0.2544,0.5546,+- 0.01,,,
85.0,61.82,0.34,0.613,+- 0.01,,,
85.0,64.99,0.4093,0.6525,+- 0.01,,,
85.0,67.82,0.5072,0.6942,+- 0.01,,,
85.0,70.48,0.6373,0.7431,+- 0.01,,,
85.0,71.53,0.7327,0.7803,+- 0.01,,,
85.0,71.81,0.7973,0.8103,+- 0.01,,,
85.0,71.81,0.811,0.8171,+- 0.01,,,
85.0,71.79,0.8297,0.8264,+- 0.01,,,
85.0,71.75,0.8437,0.8341,+- 0.01,,,
85.0,71.65,0.8591,0.8433,+- 0.01,,,
85.0,70.66,0.9312,0.8983,+- 0.01,,,
85.0,69.92,0.9556,0.9267,+- 0.01,,,
85.0,69.54,0.9663,0.9407,+- 0.01,,,
85.0,68.72,0.982,0.9656,+- 0.01,,,
85.0,68.45,0.9862,0.9735,+- 0.01,,,
85.0,68.01,0.9926,0.9855,+- 0.01,,,
85.0,67.35,1.0,1.0,+- 0.01,,,
