"T, deg.C","P, atm",X,Y,T Err,P Err,X Err,Y Err
71.1,27.42,0.022,0.638,+- 0.05,+- 0.05,+- 0.04,+- 0.04
71.1,41.22,0.036,0.741,+- 0.05,+- 0.05,+- 0.04,+- 0.04
71.1,54.25,0.053,0.791,+- 0.05,+- 0.05,+- 0.04,+- 0.04
71.1,68.39,0.068,0.825,+- 0.05,+- 0.05,+- 0.04,+- 0.04
71.1,82.37,0.081,0.846,+- 0.05,+- 0.05,+- 0.04,+- 0.04
71.1,98.82,0.098,0.86,+- 0.05,+- 0.05,+- 0.04,+- 0.04
71.1,104.89,0.109,0.871,+- 0.05,+- 0.05,+- 0.04,+- 0.04
71.1,109.56,0.113,0.875,+- 0.05,+- 0.05,+- 0.04,+- 0.04
71.1,123.01,0.129,0.881,+- 0.05,+- 0.05,+- 0.04,+- 0.04
71.1,137.98,0.141,0.888,+- 0.05,+- 0.05,+- 0.04,+- 0.04
71.1,148.87,0.159,0.891,+- 0.05,+- 0.05,+- 0.04,+- 0.04
71.1,164.35,0.173,0.894,+- 0.05,+- 0.05,+- 0.04,+- 0.04
