"T, deg.C","P, mmHg",X,Y,T Err,P Err,X Err,Y Err
63.2,400,0.997,0.983,0.05,2,0.2%,0.2%
57.25,400,0.955,0.785,0.05,2,0.2%,0.2%
56.0,400,0.906,0.73,0.05,2,0.2%,0.2%
54.75,400,0.807,0.655,0.05,2,0.2%,0.2%
55.0,400,0.703,0.637,0.05,2,0.2%,0.2%
54.8,400,0.663,0.63,0.05,2,0.2%,0.2%
54.5,400,0.594,0.613,0.05,2,0.2%,0.2%
55.75,400,0.47,0.629,0.05,2,0.2%,0.2%
55.5,400,0.377,0.605,0.05,2,0.2%,0.2%
55.5,400,0.351,0.61,0.05,2,0.2%,0.2%
56.25,400,0.278,0.605,0.05,2,0.2%,0.2%
56.75,400,0.183,0.582,0.05,2,0.2%,0.2%
58.0,400,0.133,0.557,0.05,2,0.2%,0.2%
63.1,400,0.035,0.528,0.05,2,0.2%,0.2%
56.4,400,0.175,0.577,0.05,2,0.2%,0.2%
56.25,400,0.283,0.596,0.05,2,0.2%,0.2%
56.25,400,0.204,0.582,0.05,2,0.2%,0.2%
56.25,400,0.245,0.588,0.05,2,0.2%,0.2%
