"T, deg.F","P, psi",X,Y,T Err,P Err,X Err,Y Err
160.0,3064.7,0.99642,0.005124,,,,
219.9,4099.7,0.99541,0.01324,,,,
220.2,3144.7,0.99606,0.01371,,,,
219.9,2102.2,0.99663,0.01486,,,,
219.9,1526.2,0.99699,0.01726,,,,
220.0,1018.2,0.99776,0.02279,,,,
220.1,534.2,0.99867,0.03737,,,,
279.7,616.7,0.99846,0.09598,,,,
279.8,1032.2,0.99753,0.06077,,,,
280.2,1499.2,0.99674,0.05189,,,,
280.1,2018.2,0.99598,0.03825,,,,
280.0,3002.2,0.99527,0.03293,,,,
279.9,4005.2,0.9944,0.03047,,,,
279.8,3874.7,0.99437,0.02983,,,,
280.0,1339.2,,0.04866,,,,
