"T, K","P, atm",X,Y,T Err,P Err,X Err,Y Err
270.0,21.68,0.0,0.0,,,,
270.0,22.53,0.007,0.0298,,,,
270.0,23.89,0.0188,0.0762,,,,
270.0,26.1,0.0357,0.1332,,,,
270.0,30.69,0.0739,0.2361,,,,
270.0,35.07,0.1127,0.31401,,,,
270.0,40.0,0.155,0.3768,,,,
270.0,45.3,0.1984,0.4237,,,,
270.0,45.5,,0.4251,,,,
270.0,49.06,0.2315,0.4484,,,,
270.0,50.26,0.2419,0.4558,,,,
270.0,55.02,0.2819,,,,,
270.0,60.22,0.3321,0.4889,,,,
270.0,62.96,,0.4896,,,,
270.0,64.53,0.3862,,,,,
270.0,65.14,0.398,,,,,
270.0,65.44,,0.4856,,,,
