"T, K","P, kPa",X,Y,T Err,P Err,X Err,Y Err
403.15,85.48,0.0,,+-0.01,+-0.003,,
403.15,82.25,0.0933,,+-0.01,+-0.003,,
403.15,76.69,0.2406,,+-0.01,+-0.003,,
403.15,74.0,0.3105,,+-0.01,+-0.003,,
403.15,69.75,0.4114,,+-0.01,+-0.003,,
403.15,66.07,0.4906,,+-0.01,+-0.003,,
403.15,60.99,0.5842,,+-0.01,+-0.003,,
403.15,58.55,0.6229,,+-0.01,+-0.003,,
403.15,56.35,0.6539,,+-0.01,+-0.003,,
403.15,53.24,0.6951,,+-0.01,+-0.003,,
403.15,47.86,0.7572,,+-0.01,+-0.003,,
403.15,38.81,0.8425,,+-0.01,+-0.003,,
403.15,25.67,0.9474,,+-0.01,+-0.003,,
403.15,19.18,1.0,,+-0.01,+-0.003,,
