"T, K","P, MPa",X,Y,T Err,P Err,X Err,Y Err
372.87,1.531,0.0,0.0,+-0.02,+-0.003,+-0.005,
372.87,1.696,0.078,0.142,+-0.02,+-0.003,+-0.005,
372.87,1.827,0.132,0.224,+-0.02,+-0.003,+-0.005,
372.87,1.989,0.209,0.322,+-0.02,+-0.003,+-0.005,
372.87,2.189,0.306,0.436,+-0.02,+-0.003,+-0.005,
372.87,2.361,0.399,0.522,+-0.02,+-0.003,+-0.005,
372.87,2.544,0.503,0.614,+-0.02,+-0.003,+-0.005,
372.87,2.71,0.595,0.688,+-0.02,+-0.003,+-0.005,
372.87,2.861,0.683,0.756,+-0.02,+-0.003,+-0.005,
372.87,2.996,0.775,0.824,+-0.02,+-0.003,+-0.005,
372.87,3.096,0.847,0.879,+-0.02,+-0.003,+-0.005,
372.87,3.192,0.919,0.938,+-0.02,+-0.003,+-0.005,
