"T, deg.C","P, kPa",X,Y,T Err,P Err,X Err,Y Err
136.0,101.3,0.0,0.0,,,,
132.5,101.3,0.006,0.102,,,,
129.9,101.3,0.015,0.162,,,,
126.9,101.3,0.035,0.245,,,,
123.2,101.3,0.04,0.326,,,,
119.6,101.3,0.062,0.39,,,,
115.7,101.3,0.09,0.466,,,,
113.0,101.3,0.095,0.512,,,,
109.3,101.3,0.118,0.55,,,,
107.2,101.3,0.133,0.613,,,,
104.3,101.3,0.16,0.658,,,,
101.5,101.3,0.182,0.69,,,,
100.0,101.3,0.235,0.713,,,,
97.1,101.3,0.271,0.745,,,,
95.6,101.3,0.282,0.758,,,,
94.3,101.3,0.302,0.772,,,,
92.9,101.3,0.335,0.78,,,,
91.6,101.3,0.364,0.801,,,,
90.3,101.3,0.4,0.813,,,,
89.1,101.3,0.464,0.835,,,,
88.2,101.3,0.518,0.852,,,,
87.1,101.3,0.566,0.863,,,,
82.8,101.3,0.882,0.942,,,,
81.9,101.3,0.957,0.971,,,,
81.6,101.3,0.984,0.988,,,,
81.6,101.3,1.0,1.0,,,,
