Binary_class,MAE_GH_GNN_Margules,R2_GH_GNN_Margules,n_points,n_systems,MAE_UNIFAC_Do,R2_UNIFAC_Do
Aromatics_Nitriles,0.027635480640443456,0.9813836096050841,371,15,0.029375582111704733,0.9773641829851829
Alcohols_Ketones,0.040754674152514624,0.927015988166886,446,29,0.03186805048706633,0.9485091650668205
Alcohols_Halogenated Derivatives,0.04894149445305997,0.8650448302140812,1759,98,0.03360372052210645,0.9005154478537964
Amines_Inorganics,0.078828152367241,0.846477820660346,106,8,0.03371560580784872,0.8982423602697541
Acids_Esters,0.03040706612727585,0.9820985174372423,24,2,0.035273410281896005,0.9780886560837498
Inorganics_Ketones,0.062135389191620816,0.819408989440535,155,8,0.03571233541132012,0.92544775893925
Amides_Ethers,0.029450460823075595,0.9066159254425541,7,1,0.0360178586908928,0.8420333327950678
Acids_Naphtenic Hydrocarbons,0.07525914199801143,0.8459869562517861,17,1,0.038449310431445484,0.9610961091293349
Acids_Acids,0.07022562466683385,0.9096818577713497,52,4,0.03916163882228373,0.9746273552841216
Amines_Paraffinic Hydrocarbons,0.012181132110065796,0.9603621719714953,15,1,0.04135421267205245,-0.052356631596627734
Ketones_Naphtenic Hydrocarbons,0.03937034853419239,0.9606417793910462,90,2,0.04454368105140473,0.957642679351837
Amines_Aromatics,0.028406804608780763,0.9663568416315581,65,5,0.0460336816761085,0.8841771757838798
Amines_Halogenated Derivatives,0.014262515034977405,0.9965520417151228,28,1,0.04696797236508994,0.9736159499215087
Acids_Inorganics,0.07820449980211318,0.9023161379129154,107,10,0.04763155817208882,0.9479103139460525
Acids_Amides,0.20445600683379803,0.44572304240172966,115,4,0.0533091719393264,0.9558162661045054
Acids_Aromatics,0.05490856226336222,0.9501676867999271,78,5,0.05410803619781394,0.9550958216834483
Esters_Inorganics,0.07624664872414101,0.8350384904728834,24,1,0.07326138843139272,0.8794390746529884
Acids_Unsaturated Hydrocarbons,0.15748387399719924,0.36613320487349943,17,1,0.09034403069031137,0.7720095858816238
Nitriles_Paraffinic Hydrocarbons,0.05241163338902643,0.9367259340620139,17,1,0.11717274889765568,0.6900130357500533
Acids_Alcohols,0.11177192716912943,0.7387535459358048,122,7,0.11876023741906777,0.7176543954472265
Naphtenic Hydrocarbons_Nitriles,0.05636332616845004,0.9129326543034636,40,2,0.12023658160789841,0.40017743038935616
