ID,Type,Compound_1,Compound_2,Compound_3,T_K,P_kPa,x_1,x_2,y_1,y_2,SMILES_1,SMILES_2,SMILES_3,Coefficient A_1,Coefficient B_1,Coefficient C_1,Coefficient D_1,"T range, from_1","T range, to_1",P_vap_1,gamma_1,Coefficient A_2,Coefficient B_2,Coefficient C_2,Coefficient D_2,"T range, from_2","T range, to_2",P_vap_2,gamma_2,Coefficient A_3,Coefficient B_3,Coefficient C_3,Coefficient D_3,"T range, from_3","T range, to_3",P_vap_3,gamma_3,x_3,y_3,inchikey_1,inchikey_2,inchikey_3
1,Isobaric,Acetone,Chloroform,Methanol,330.84,101.325,0.279,0.284,0.264,0.304,CC(=O)C,C(Cl)(Cl)Cl,CO,-7.858812,-5784.592,66.96925,7.104956e-06,178.45,508.2,106.52774021614958,0.9000230283708177,-10.07089,-6351.14,81.14393,9.127608e-06,209.63,536.4,91.68446839428603,1.1829764111610555,-9.372816,-7029.198,79.09415,7.992729e-06,175.47,512.58,77.07822856604037,1.2995326555978983,0.437,0.432,CSCPPACGZOOCGX-UHFFFAOYSA-N,HEDRZPFGACZZDS-UHFFFAOYSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N
1,Isobaric,Acetone,Chloroform,Methanol,330.9,101.325,0.281,0.294,0.262,0.311,CC(=O)C,C(Cl)(Cl)Cl,CO,-7.858812,-5784.592,66.96925,7.104956e-06,178.45,508.2,106.74392774393468,0.885051219428622,-10.07089,-6351.14,81.14393,9.127608e-06,209.63,536.4,91.86958468578075,1.1666965616316551,-9.372816,-7029.198,79.09415,7.992729e-06,175.47,512.58,77.26886067122912,1.3175012889418394,0.425,0.427,CSCPPACGZOOCGX-UHFFFAOYSA-N,HEDRZPFGACZZDS-UHFFFAOYSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N
1,Isobaric,Acetone,Chloroform,Methanol,330.85,101.325,0.282,0.313,0.255,0.324,CC(=O)C,C(Cl)(Cl)Cl,CO,-7.858812,-5784.592,66.96925,7.104956e-06,178.45,508.2,106.56374725950977,0.8598015044425857,-10.07089,-6351.14,81.14393,9.127608e-06,209.63,536.4,91.71530069911759,1.1436035393494808,-9.372816,-7029.198,79.09415,7.992729e-06,175.47,512.58,77.109973415227,1.365944744861807,0.40499999999999997,0.421,CSCPPACGZOOCGX-UHFFFAOYSA-N,HEDRZPFGACZZDS-UHFFFAOYSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N
1,Isobaric,Acetone,Chloroform,Methanol,330.94,101.325,0.292,0.294,0.27,0.304,CC(=O)C,C(Cl)(Cl)Cl,CO,-7.858812,-5784.592,66.96925,7.104956e-06,178.45,508.2,106.88824656383615,0.8765315894819162,-10.07089,-6351.14,81.14393,9.127608e-06,209.63,536.4,91.99315892024399,1.138904564221597,-9.372816,-7029.198,79.09415,7.992729e-06,175.47,512.58,77.39616626130949,1.3471204267369496,0.414,0.426,CSCPPACGZOOCGX-UHFFFAOYSA-N,HEDRZPFGACZZDS-UHFFFAOYSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N
1,Isobaric,Acetone,Chloroform,Methanol,331.11,101.325,0.292,0.204,0.301,0.223,CC(=O)C,C(Cl)(Cl)Cl,CO,-7.858812,-5784.592,66.96925,7.104956e-06,178.45,508.2,107.50333420535134,0.971579454665124,-10.07089,-6351.14,81.14393,9.127608e-06,209.63,536.4,92.51980993960899,1.1971720696923136,-9.372816,-7029.198,79.09415,7.992729e-06,175.47,512.58,77.93916102720482,1.22782734728092,0.504,0.4760000000000001,CSCPPACGZOOCGX-UHFFFAOYSA-N,HEDRZPFGACZZDS-UHFFFAOYSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N
1,Isobaric,Acetone,Chloroform,Methanol,330.84,101.325,0.296,0.205,0.311,0.227,CC(=O)C,C(Cl)(Cl)Cl,CO,-7.858812,-5784.592,66.96925,7.104956e-06,178.45,508.2,106.52774021614958,0.999361411608153,-10.07089,-6351.14,81.14393,9.127608e-06,209.63,536.4,91.68446839428603,1.223750373471292,-9.372816,-7029.198,79.09415,7.992729e-06,175.47,512.58,77.07822856604037,1.2171001538692299,0.499,0.4620000000000001,CSCPPACGZOOCGX-UHFFFAOYSA-N,HEDRZPFGACZZDS-UHFFFAOYSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N
1,Isobaric,Acetone,Chloroform,Methanol,331.0,101.325,0.297,0.274,0.286,0.289,CC(=O)C,C(Cl)(Cl)Cl,CO,-7.858812,-5784.592,66.96925,7.104956e-06,178.45,508.2,107.1050157924356,0.9109958249883696,-10.07089,-6351.14,81.14393,9.127608e-06,209.63,536.4,92.17876557257851,1.159399221580456,-9.372816,-7029.198,79.09415,7.992729e-06,175.47,512.58,77.58745138850651,1.2937690690806047,0.42900000000000005,0.425,CSCPPACGZOOCGX-UHFFFAOYSA-N,HEDRZPFGACZZDS-UHFFFAOYSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N
1,Isobaric,Acetone,Chloroform,Methanol,331.17,101.325,0.307,0.203,0.324,0.22,CC(=O)C,C(Cl)(Cl)Cl,CO,-7.858812,-5784.592,66.96925,7.104956e-06,178.45,508.2,107.7210948804356,0.9927102090596583,-10.07089,-6351.14,81.14393,9.127608e-06,209.63,536.4,92.70625227591033,1.1844977240668841,-9.372816,-7029.198,79.09415,7.992729e-06,175.47,512.58,78.13156027428103,1.2068655148222485,0.49000000000000005,0.45599999999999996,CSCPPACGZOOCGX-UHFFFAOYSA-N,HEDRZPFGACZZDS-UHFFFAOYSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N
1,Isobaric,Acetone,Chloroform,Methanol,331.16,101.325,0.313,0.216,0.319,0.223,CC(=O)C,C(Cl)(Cl)Cl,CO,-7.858812,-5784.592,66.96925,7.104956e-06,178.45,508.2,107.68477709186772,0.9589780009506033,-10.07089,-6351.14,81.14393,9.127608e-06,209.63,536.4,92.6751580362574,1.1287672206032753,-9.372816,-7029.198,79.09415,7.992729e-06,175.47,512.58,78.09946635985446,1.2615751238947157,0.4710000000000001,0.4580000000000001,CSCPPACGZOOCGX-UHFFFAOYSA-N,HEDRZPFGACZZDS-UHFFFAOYSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N
1,Isobaric,Acetone,Chloroform,Methanol,331.02,101.325,0.315,0.214,0.326,0.226,CC(=O)C,C(Cl)(Cl)Cl,CO,-7.858812,-5784.592,66.96925,7.104956e-06,178.45,508.2,107.17734986099511,0.9784094630939937,-10.07089,-6351.14,81.14393,9.127608e-06,209.63,536.4,92.24069991829899,1.1600820006321988,-9.372816,-7029.198,79.09415,7.992729e-06,175.47,512.58,77.65130032129419,1.2411520433646224,0.4710000000000001,0.44799999999999995,CSCPPACGZOOCGX-UHFFFAOYSA-N,HEDRZPFGACZZDS-UHFFFAOYSA-N,OKKJLVBELUTLKV-UHFFFAOYSA-N
