Compound_1,Compound_2,N_points,p_res_avg,y_1_res_avg,y_2_res_avg,is_consistent
"1,1,1-TRICHLOROETHANE","1,2-DICHLOROETHANE",11,1.8023765778657965,1.6754803865934682,0.4107437091224776,False
"1,1,1-TRICHLOROETHANE","1,2-DICHLOROETHANE",16,0.004966970646877735,0.01763340859110081,0.012843105741941193,False
"1,1,2-TRICHLOROTRIFLUOROETHANE","1,1,2,2-TETRACHLORODIFLUOROETHANE",12,0.036155835803662044,0.04703824417626875,0.011553778643812974,False
"1,1-DICHLOROETHANE",1-BROMOPROPANE,17,0.005737533760898156,0.014129651874944254,0.008770166415745122,False
"1,2-DIBROMOETHANE",ISOBUTANOL,11,0.006935235789183574,0.007211558617156715,0.012674587348457333,False
"1,2-DIBROMOETHANE",ISOBUTANOL,12,0.008938047143841355,0.005131961522028268,0.01329594042038851,False
"1,2-DIBROMOETHANE",N-BUTANOL,12,0.006379449863922265,0.006729660663401672,0.009731730610601674,True
"1,2-DIBROMOETHANE",N-BUTANOL,12,0.007359490855311883,0.007104116668750964,0.012963131723234636,False
"1,2-DIBROMOETHANE",SEC-BUTANOL,25,74198.43091510005,0.45073543799232624,74198.16890521349,False
"1,2-DIBROMOETHANE",TERT-BUTANOL,13,0.019818298266549836,0.005544924811491367,0.025025214363390894,False
"1,2-DIBROMOETHANE",TERT-BUTANOL,12,0.017320019269114462,0.004356809948700804,0.021454701995139745,False
"1,2-DICHLOROETHANE",ETHYLBENZENE,17,0.0637581308162098,0.0834204374360242,0.019922553860201992,False
"1,2-DICHLOROETHANE",FURFURAL,19,0.027587708468493087,0.030420493063477383,0.0040036615271186035,False
"1,2-DICHLOROETHANE",N-PROPANOL,16,0.024135982609593175,0.03824600773388097,0.016765836567607342,False
"1,2-DICHLOROETHANE",P-XYLENE,19,0.04272098961152784,0.05251504100032006,0.010149894058013973,False
"1,2-DICHLOROETHANE",TETRACHLOROETHYLENE,16,0.01680576756525693,0.02259702562844925,0.006950646630213941,False
"1,2-DICHLOROETHANE",TOLUENE,13,0.01640720468647574,0.027156612489437,0.012492745516345254,False
"1,2-DICHLOROETHANE",TRICHLOROETHYLENE,16,0.002030475121467442,0.007120061203616,0.0064038662282937175,True
1-BROMOBUTANE,"1,1,1-TRICHLOROETHANE",9,0.009836375500070363,0.005889224704190184,0.012813150763599283,False
1-BROMOBUTANE,"1,1,2,2-TETRACHLOROETHANE",9,0.023387498115394104,0.031243166914253766,0.008263875400536108,False
1-BROMOBUTANE,"1,2-DICHLOROETHANE",8,0.01773414876684852,0.026371778828757467,0.044105927595605984,False
1-BROMOBUTANE,ISOBUTANOL,12,0.009916886801894354,0.018500090399791815,0.011327398129226932,False
1-BROMOBUTANE,ISOBUTANOL,11,0.008053384808321351,0.014824935887779929,0.01026902755785977,False
1-BROMOBUTANE,N-BUTANOL,13,0.0066061228288500605,0.008435575923813974,0.003498419061586433,True
1-BROMOBUTANE,N-BUTANOL,10,0.009646586714305821,0.015731080708157118,0.007501723541152597,False
1-BROMOBUTANE,SEC-BUTANOL,12,0.010216982495737614,0.023019106610901643,0.0163475988553206,False
1-BROMOBUTANE,SEC-BUTANOL,11,0.004471957170964116,0.008692667652152595,0.009982600458423528,True
1-BROMOBUTANE,TERT-BUTANOL,11,0.003161333886047288,0.003211446525601853,0.004495662369211347,True
1-BROMOBUTANE,TERT-BUTANOL,12,0.008089325292147538,0.005557433951458748,0.013295870141712032,False
1-BROMOPROPANE,CYCLOHEXANE,36,0.0025281863881326857,0.00590963827277108,0.0042180274985615315,True
1-BROMOPROPANE,METHYL ETHYL KETONE,14,0.0017658581347742544,0.0064013382003015986,0.005699605517251166,True
1-BROMOPROPANE,METHYL METHACRYLATE,20,0.012182560277888676,0.020475807095844237,0.00852512799712886,False
1-BROMOPROPANE,N-BUTANOL,23,0.03637869651218801,0.04214107085433412,0.00637585961854905,False
1-BROMOPROPANE,N-HEPTANE,22,0.00892683303559967,0.015067603099066235,0.006163292795404806,False
1-BROMOPROPANE,P-XYLENE,19,0.06188695628497632,0.07237302496167998,0.010488413941495694,False
1-BROMOPROPANE,TOLUENE,23,0.027972407997206544,0.041979245376885084,0.014050805322892735,False
1-CHLOROBUTANE,2-METHYL-2-BUTANOL,12,0.16797095337165738,0.20692577097176246,0.038991428688308384,False
1-CHLOROBUTANE,ISOBUTANOL,11,0.05047669098957727,0.0628498333635556,0.012766038658930107,False
1-CHLOROBUTANE,ISOPROPANOL,17,0.00907408298009629,0.011285895116814208,0.010892517449486364,False
1-CHLOROBUTANE,N-BUTANOL,14,0.13635161059598716,0.14575159852533345,0.009498923967898447,False
1-CHLOROBUTANE,N-BUTANOL,13,0.07362422420706856,0.08462002194101395,0.011294800216924564,False
1-CHLOROBUTANE,SEC-BUTANOL,11,0.04000668611206488,0.04944525196981619,0.009690174549696631,False
1-CHLOROBUTANE,SEC-BUTANOL,11,0.01499255267404165,0.02441711478022507,0.01038551797666313,False
1-HEXENE,ISOPROPANOL,21,76048062254.92917,76048062254.26277,1.159350308477216,False
1-OCTENE,ACRYLIC ACID,15,0.488407436194814,0.5335112803331702,0.045393097610537204,False
1-OCTENE,ETHYLBENZENE,16,0.002208802848215308,0.005136083706170173,0.0034918106258060707,True
"2,2,3-TRIMETHYLBUTANE",BENZENE,17,0.0016149521350272559,0.005785451944175965,0.005325074609994341,True
"2,2,3-TRIMETHYLBUTANE",CYCLOHEXANE,16,0.0010352654708380422,0.007711549762638083,0.008346049860150011,True
